step     Mol_ID1     Mol_ID2     Mol_ID3     Mol_ID4     Mol_ID5     Mol_ID6     Mol_ID7     Mol_ID8     Mol_ID9     Mol_ID10     
44      106.277179     261.177148     159.467066     176.622873     425.621975     219.376781     116.860682     139.150481     163.224975     167.896583     
45      108.331815     261.841281     157.009085     175.833386     427.688405     218.952628     116.524577     139.325019     161.417916     167.102909     
46      108.756340     263.129580     154.508231     174.257506     430.006801     217.863889     115.990831     138.746821     160.017574     167.443919     
47      108.689477     264.230861     154.760140     172.093913     431.789297     217.969275     115.362770     137.512276     159.183194     166.952958     
48      107.658919     266.603865     155.572223     169.044011     432.811672     218.126067     114.688193     137.340999     159.332481     165.210700     
49      105.547717     269.472943     156.302280     166.967432     433.483441     217.535749     114.397481     137.037075     159.658534     163.985280     
50      104.734342     271.242684     157.481370     166.614899     435.145454     217.152658     114.407795     136.566457     159.142963     164.387578     
51      104.707689     272.055714     158.150226     166.731979     438.118875     217.602796     115.577868     136.454010     159.778596     163.856237     
52      105.716919     274.042291     158.231495     167.283253     441.972766     218.461143     116.701420     135.310008     158.879157     163.896332     
53      106.109300     276.039445     158.409668     168.855965     445.691731     217.958565     118.455405     134.609597     159.795748     164.024379     
54      106.823295     277.332097     159.213212     170.239329     445.161821     216.181844     119.714332     134.512980     162.077422     163.714479     
55      107.139834     277.623360     160.811975     170.279880     444.794590     215.836224     120.813825     135.518840     164.312383     163.933897     
56      107.561934     277.945229     162.842906     170.498576     446.252045     216.358472     121.368857     136.602454     165.656887     164.954685     
57      108.976579     279.749577     162.515609     170.035239     449.958926     218.477157     121.195857     138.226260     166.221369     166.527282     
58      109.494423     283.458239     162.693375     170.508773     456.418944     220.945931     121.609193     139.393423     167.132132     166.948631     
59      110.504815     287.785076     162.938933     171.168693     461.296991     223.004585     121.998673     138.647985     167.313508     167.537726     
60      111.163804     291.901496     162.997408     171.117213     461.476946     223.444729     122.966862     139.122464     165.133667     167.972547     
61      110.924544     293.107079     163.043641     170.673762     460.467568     222.741597     123.313311     140.354731     163.357997     166.854277     
62      110.765639     293.890094     164.219890     170.726733     460.641691     223.427557     125.059680     141.301718     163.162809     165.726419     
63      110.604689     295.278503     164.784872     170.406013     461.982685     223.085682     126.942732     143.262322     164.689757     164.872386     
64      110.549690     295.324439     164.199807     169.125591     461.608978     222.083550     127.956929     144.816100     165.021848     165.342264     
65      110.766712     293.853813     164.167553     167.195795     461.709705     220.998803     127.915173     146.182659     165.096354     165.505199     
66      110.722073     290.755970     162.956273     164.757729     462.616787     219.200286     126.913509     147.359532     165.975935     166.444100     
67      108.606445     288.982382     161.364698     164.150511     463.947411     217.105664     125.797287     149.362754     166.959032     168.714099     
68      105.885934     288.612867     159.753295     163.136079     465.010511     215.851849     124.718232     150.100208     167.765248     171.401916     
69      103.013101     288.636303     158.023383     162.760264     465.662736     214.301135     124.289345     150.734648     168.239499     173.331588     
70      100.109881     288.320558     158.429122     163.268342     462.536526     212.398235     124.371322     150.018462     167.938423     174.380078     
71      98.246647     287.558783     161.937720     164.065933     457.598462     211.122953     124.627491     150.735311     168.292211     172.963176     
72      97.461965     287.933197     164.559600     165.168085     452.268372     210.420491     125.086024     152.938113     169.042842     172.448137     
73      98.168449     287.627709     164.891445     165.880351     448.254854     210.133091     126.297157     153.170492     171.248744     172.387019     
74      100.538133     287.098451     163.965151     167.729061     444.218050     210.110940     127.053298     152.033959     168.987342     172.903502     
75      103.163004     286.848053     163.960771     171.265088     444.116239     209.381007     125.885318     151.531946     165.789709     172.339905     
76      105.152378     286.672219     164.993058     173.575598     444.249049     208.955600     124.685178     150.786957     163.363488     170.200034     
77      105.994641     285.241357     165.862777     175.480657     440.731357     206.824142     123.316026     150.081058     161.516867     167.724208     
78      107.270935     284.425442     166.206723     177.983497     439.196286     204.139605     121.046418     150.115487     160.919049     167.252110     
79      108.741103     285.191102     165.806200     180.086635     439.182596     200.606641     121.741961     148.187232     158.689687     165.751105     
80      110.054475     284.791891     165.979922     181.266707     439.104148     196.877416     123.601076     146.554865     156.835763     164.053911     
81      110.383043     283.914968     168.074446     181.554840     440.474262     195.245217     125.074595     146.603040     156.360520     162.148986     
82      110.660067     281.604120     171.433359     181.381204     441.330895     194.694896     125.269423     148.203251     155.907716     159.196832     
83      110.643964     279.030582     174.832361     182.128867     442.084974     195.807945     124.600689     150.402667     156.134941     156.489790     
84      110.453613     276.517754     176.703221     184.180281     438.488869     197.049770     124.223344     152.036257     156.547412     156.113478     
85      110.305845     274.853636     178.545904     185.276763     434.322360     197.374161     123.325187     152.538914     157.752732     157.622465     
86      109.885659     273.169213     178.898561     185.485120     432.833562     197.591013     123.449405     152.725263     159.729899     158.215524     
87      109.764710     270.131696     178.140815     185.458216     432.273982     197.428416     122.480664     155.563846     161.332061     157.431935     
88      110.386670     267.993869     177.133029     183.997956     432.301551     198.333450     121.467976     157.466780     162.914141     157.097077     
89      110.891702     268.909941     178.149825     182.342656     431.029532     198.814101     121.278360     159.255406     163.994222     157.411009     
90      110.742562     272.132065     178.635776     182.010436     427.943965     199.357325     121.575001     160.406590     164.378381     154.874327     
91      110.784683     276.332975     178.326700     184.232750     426.735392     198.823091     120.550521     161.683814     164.529711     152.663768     
92      110.208258     280.014819     178.492171     186.238874     426.749664     197.851843     119.660692     161.680290     164.274305     151.684467     
93      109.803876     282.886623     180.326083     186.821820     426.420249     196.228146     119.717509     161.675617     163.906200     150.311602     
94      109.361679     283.483646     181.283869     186.288200     425.307461     194.194977     120.267447     161.918646     164.078514     149.260880     
95      108.101181     281.286405     182.489139     184.678337     427.675622     192.840541     120.837566     161.527028     164.388576     147.963562     
96      107.337499     276.723852     184.665857     181.827314     430.253983     190.933987     121.370559     160.095151     164.165482     147.039897     
97      107.630904     272.381120     187.241393     177.440335     433.747037     190.738503     122.134287     157.456927     164.463046     146.407852     
98      109.024228     268.302438     189.048189     173.139305     435.762256     190.846813     123.361134     156.179842     165.403688     145.061309     
99      110.275337     264.087766     189.273966     170.594379     437.521906     190.536469     123.444814     157.851997     166.126984     143.220713     
